                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5136,                  2.108,                 1.2318,                 0.1418,                0.43732,                0.09753,                0.04537,                 1.6364,                 16.424,                 1.4652,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.6621,                 1.7698,                 1.4043,                0.00739,                0.15138,                 0.0037,                0.00112,                 2.9272,                 162.29,                 5.9889,              0.0013066,              0.0013066,              0.0013066
                      3,                 1.8493,                 1.7432,                 1.5091,                0.00739,                0.15138,                 0.0037,                0.00112,                 6.0164,                    inf,                 98.013,              0.0019558,              0.0019558,              0.0019558
                      4,                 1.8958,                 1.7088,                 1.5538,                  8e-05,                0.00917,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      5,                  1.725,                 1.3964,                 1.3968,                0.10724,                0.02294,                0.00389,                0.00211,                    nan,                    nan,                    nan,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.7414,                 1.4376,                 1.4575,                0.18824,                 0.1422,                0.09748,                0.04559,                 2.8962,                 4.8886,                 2.4169,               0.001934,               0.001934,               0.001934
                      7,                 1.5916,                 1.3138,                 1.3978,                0.02694,                0.56881,                0.02613,                0.01402,                 1.8707,                 32.157,                 1.9114,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.5197,                 1.3077,                  1.354,                 0.7543,                 0.3578,                0.47714,                0.29535,                  1.376,                 2.8297,                 1.4782,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.5722,                 1.2427,                 1.3485,                 0.5699,                0.45872,                0.50187,                0.28418,                 1.4699,                 1.9418,                 1.5066,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.5075,                 1.0937,                 1.2374,                0.62668,                0.67431,                0.64183,                0.38842,                 1.2926,                 1.2515,                 1.3388,              0.0018812,              0.0018812,              0.0018812
                     11,                  1.493,                 1.1354,                 1.3021,                0.56316,                0.53211,                0.51562,                0.33008,                  1.266,                  1.721,                 1.3271,               0.001868,               0.001868,               0.001868
                     12,                 1.5107,                 1.0708,                 1.2686,                0.61461,                0.53211,                 0.6014,                0.32676,                 1.4104,                 1.7655,                 1.3654,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.4974,                 1.0583,                 1.2518,                0.65232,                0.48624,                 0.4858,                0.28833,                 1.4437,                 1.8963,                 1.4387,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.5127,                 1.1415,                 1.2417,                 0.5945,                 0.6422,                0.61416,                0.35163,                  1.419,                 1.3584,                 1.4198,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.4314,                   1.06,                 1.2046,                0.67799,                0.55505,                0.63533,                0.39041,                  1.273,                 1.0762,                 1.2815,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.4445,                 1.0353,                 1.2181,                0.66407,                0.61662,                0.65043,                0.40308,                 1.3155,                 1.0728,                 1.3685,               0.001802,               0.001802,               0.001802
                     17,                 1.3981,                 1.0181,                 1.2234,                0.76063,                0.61222,                0.66745,                0.41082,                 1.2283,                0.99582,                 1.2613,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.4691,                 1.0333,                 1.2147,                0.57914,                0.61009,                0.61889,                0.37606,                 1.3255,                 1.4988,                 1.3399,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.3729,                 1.0327,                 1.2293,                0.65392,                0.65596,                0.64185,                0.41633,                 1.1776,                 1.0291,                 1.2255,              0.0017624,              0.0017624,              0.0017624
                     20,                  1.338,                0.94914,                 1.1686,                0.59141,                0.61009,                0.60754,                0.37645,                 1.2554,                 1.1913,                 1.2815,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.4878,                 1.0152,                 1.2243,                0.68553,                0.62385,                0.66983,                0.42848,                 1.1596,                0.92223,                 1.1962,               0.001736,               0.001736,               0.001736
                     22,                 1.3274,                0.94201,                 1.1789,                0.68047,                0.66514,                0.69952,                0.43955,                 1.1956,                0.92208,                 1.2424,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.2765,                0.87499,                 1.1593,                0.71814,                0.66514,                0.71776,                0.43556,                 1.1679,                 0.9235,                 1.2121,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.4062,                0.95739,                 1.2262,                0.67941,                0.64161,                0.67474,                0.43148,                 1.1832,                0.94564,                 1.2223,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.3389,                0.87445,                 1.1621,                0.78107,                0.68807,                0.73828,                0.44467,                 1.1828,                  0.909,                 1.2351,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.2802,                0.91107,                 1.1702,                 0.6537,                0.64077,                0.68744,                0.44803,                 1.1239,                0.94824,                 1.2205,                0.00167,                0.00167,                0.00167
                     27,                 1.2569,                0.87303,                 1.1721,                0.67106,                0.66514,                0.69028,                0.45216,                 1.1007,                0.87301,                 1.1859,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.2169,                0.83129,                 1.1082,                0.74558,                0.67431,                0.72152,                0.46222,                 1.1178,                0.89376,                 1.2141,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.2886,                0.86512,                 1.1386,                0.76398,                0.72018,                0.72296,                0.46314,                  1.147,                 0.9061,                 1.2355,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.2561,                 0.8467,                 1.1634,                0.71681,                0.71101,                0.73425,                0.44578,                 1.1625,                0.86977,                 1.2296,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.2795,                 0.8143,                 1.1236,                0.80643,                 0.7071,                0.77023,                0.48874,                 1.0617,                 0.7719,                 1.1508,               0.001604,               0.001604,               0.001604
                     32,                  1.218,                0.80812,                 1.1486,                0.79066,                0.71036,                0.76563,                0.48006,                 1.0988,                0.76832,                 1.1935,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.2544,                0.80746,                 1.1319,                0.80979,                0.68807,                0.75519,                0.48237,                 1.1089,                 0.7852,                 1.1727,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.2072,                0.80678,                 1.1419,                0.76247,                0.69266,                0.75216,                0.45384,                 1.1232,                0.80786,                 1.2234,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.3055,                0.82752,                 1.1468,                0.79557,                0.71101,                0.76146,                0.46832,                 1.1365,                0.81469,                 1.1975,              0.0015512,              0.0015512,              0.0015512
                     36,                  1.252,                0.83627,                 1.1615,                0.77542,                0.72855,                0.76654,                0.48546,                 1.1431,                0.89147,                 1.2253,               0.001538,               0.001538,               0.001538
                     37,                 1.1263,                0.75457,                 1.1123,                  0.811,                0.69725,                0.77507,                0.49597,                 1.0009,                0.75429,                 1.1174,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.2843,                0.76869,                 1.0817,                0.81043,                0.61468,                 0.6664,                0.43277,                 1.1423,                0.98115,                 1.2146,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.2087,                0.77388,                 1.1042,                0.76435,                0.68349,                0.73984,                0.47614,                 1.0422,                0.77592,                 1.1457,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.1978,                0.75206,                 1.1243,                 0.7158,                0.66514,                0.69391,                0.44998,                 1.1164,                 1.0436,                 1.2266,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.1956,                0.76912,                 1.1526,                0.78048,                0.69725,                0.77693,                0.47347,                 1.0914,                0.76751,                 1.1945,               0.001472,               0.001472,               0.001472
                     42,                  1.265,                 0.7669,                 1.0999,                0.77188,                0.70642,                0.77586,                0.48585,                  1.078,                0.75151,                 1.1843,              0.0014588,              0.0014588,              0.0014588
                     43,                  1.192,                0.72939,                 1.0943,                0.83617,                0.70236,                0.76538,                0.50234,                 1.0862,                0.73655,                 1.1812,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.1427,                0.69294,                 1.0795,                0.74288,                0.69266,                0.71273,                0.47611,                 1.1054,                0.86095,                 1.2073,              0.0014324,              0.0014324,              0.0014324
                     45,                  1.206,                0.72124,                 1.0817,                0.82181,                0.73394,                0.80407,                0.50455,                 1.0402,                0.73192,                 1.1471,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.1548,                0.71761,                 1.0761,                0.83334,                0.73394,                0.79819,                0.49594,                 1.0941,                0.79309,                 1.1873,               0.001406,               0.001406,               0.001406
                     47,                 1.1694,                0.72896,                 1.1031,                0.82667,                0.72477,                0.78954,                0.51669,                  1.021,                0.72814,                 1.1383,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.1747,                0.77556,                 1.0925,                0.87117,                0.69266,                0.77807,                0.48474,                 1.0396,                0.77733,                 1.1417,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.1227,                0.71555,                 1.0675,                0.78484,                0.73622,                0.78616,                0.49917,                 1.0484,                0.68476,                 1.1482,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.0798,                0.70387,                 1.0783,                0.75211,                0.69266,                0.74844,                0.51415,                 1.0061,                0.74858,                  1.144,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.1478,                0.67434,                 1.0675,                0.79372,                0.70183,                0.75651,                0.50211,                 1.0365,                0.74788,                  1.141,                0.00134,                0.00134,                0.00134
                     52,                 1.1653,                0.69742,                 1.0752,                0.81844,                 0.7156,                0.77974,                 0.5077,                 1.0303,                0.69809,                 1.1711,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.1068,                 0.6413,                 1.0491,                0.77118,                0.69266,                0.75111,                0.49763,                 1.0346,                0.71556,                 1.1727,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.0911,                0.68225,                  1.075,                0.81304,                0.70642,                0.77703,                0.49709,                 1.0396,                0.72133,                 1.1416,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.0578,                0.64241,                  1.061,                0.79164,                 0.7156,                0.78276,                0.51504,                  1.033,                0.73497,                 1.1386,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.0868,                0.68057,                 1.0722,                0.77154,                0.72477,                0.75753,                0.49623,                 1.0393,                0.72932,                 1.1499,               0.001274,               0.001274,               0.001274
                     57,                 1.1534,                0.68009,                 1.0732,                0.79519,                0.67677,                0.75755,                0.49223,                 1.0432,                0.68803,                 1.1675,              0.0012608,              0.0012608,              0.0012608
                     58,                  1.087,                0.67125,                 1.0691,                0.79397,                0.75229,                 0.8025,                0.50751,                 1.0606,                0.70264,                 1.1909,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.1368,                0.68788,                 1.0851,                0.81727,                0.74312,                0.80416,                 0.5097,                 1.0804,                0.70589,                 1.1951,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.0875,                0.67147,                 1.0551,                0.83587,                0.77093,                0.81439,                0.54228,                0.98653,                0.66921,                 1.1317,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.1248,                0.69456,                 1.0858,                0.76831,                0.70183,                0.74498,                0.50634,                 1.0714,                0.71446,                 1.1845,               0.001208,               0.001208,               0.001208
                     62,                   1.12,                0.67096,                 1.0773,                0.75378,                0.77064,                0.79104,                 0.4953,                 1.0561,                0.69768,                   1.12,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.0912,                0.66198,                 1.0729,                0.76399,                0.77214,                0.79864,                0.51555,                 1.0274,                0.69255,                 1.1287,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.0703,                0.63397,                 1.0677,                0.80568,                 0.6789,                 0.7639,                0.50929,                  1.015,                0.72697,                 1.1211,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.0288,                0.63585,                  1.076,                0.77953,                0.69744,                0.76197,                0.51365,                 1.0447,                0.69661,                 1.1656,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.0473,                0.65359,                 1.0832,                0.81517,                0.61927,                0.72011,                0.48418,                 1.0497,                0.79258,                  1.187,               0.001142,               0.001142,               0.001142
                     67,                 1.1421,                0.68238,                 1.0867,                0.76668,                 0.7156,                0.76763,                0.48338,                 1.0677,                0.76791,                 1.1709,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.1089,                 0.6572,                 1.0678,                0.85496,                0.72477,                0.80231,                0.53168,                 1.0208,                0.66693,                 1.1372,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.0714,                0.66576,                  1.045,                0.88552,                0.70969,                0.80469,                0.53118,                 1.0021,                0.66879,                 1.1386,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.0202,                0.62212,                 1.0525,                0.78322,                0.76147,                0.79864,                0.50027,                 1.0482,                0.70238,                 1.1611,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.0704,                0.63584,                 1.0424,                0.81617,                0.75357,                0.80956,                0.51448,                 1.0338,                0.70633,                 1.1672,               0.001076,               0.001076,               0.001076
                     72,                 1.0164,                0.63178,                 1.0243,                0.86201,                0.74502,                0.83372,                0.55112,                0.99364,                0.60009,                  1.146,              0.0010628,              0.0010628,              0.0010628
                     73,                 0.9662,                0.58776,                 1.0242,                0.87069,                0.75229,                0.82265,                 0.5478,                0.97035,                0.62678,                  1.114,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.0068,                0.59913,                 1.0393,                0.87509,                0.74312,                0.80212,                0.52442,                  1.008,                0.67943,                 1.1182,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.0204,                0.59671,                 1.0394,                 0.8503,                0.75563,                0.81729,                 0.5426,                0.99299,                0.63086,                 1.1213,              0.0010232,              0.0010232,              0.0010232
                     76,                  1.059,                0.63328,                 1.0319,                0.82473,                0.79861,                0.83213,                0.57378,                0.93628,                0.60356,                 1.0821,                0.00101,                0.00101,                0.00101
                     77,                  1.028,                 0.6088,                 1.0381,                0.85665,                0.77523,                0.83537,                 0.5623,                0.99786,                0.61389,                 1.1316,              0.0009968,              0.0009968,              0.0009968
                     78,                0.98995,                0.61172,                 1.0587,                0.90074,                 0.7493,                0.84017,                0.56319,                 0.9825,                0.59404,                 1.1392,              0.0009836,              0.0009836,              0.0009836
                     79,                0.96507,                0.58486,                 1.0166,                0.83673,                0.79817,                0.84585,                 0.5569,                0.96285,                0.59902,                 1.1013,              0.0009704,              0.0009704,              0.0009704
                     80,                0.97533,                0.56911,                  1.041,                0.83303,                0.75229,                0.81634,                0.54439,                0.97317,                0.63973,                 1.1023,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.0255,                0.60216,                 1.0181,                0.82435,                0.74771,                0.81349,                 0.5423,                0.98235,                0.62452,                 1.1048,               0.000944,               0.000944,               0.000944
                     82,                 1.0201,                 0.5934,                0.99432,                0.85484,                0.75641,                0.83249,                0.52906,                0.98861,                0.61927,                 1.1185,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.0452,                0.62812,                 1.0426,                0.85314,                0.75688,                0.81734,                0.55431,                0.97613,                0.62926,                 1.1206,              0.0009176,              0.0009176,              0.0009176
                     84,                0.99882,                0.57567,                0.99771,                0.88183,                0.76606,                0.83299,                0.55722,                0.96418,                0.61549,                 1.1107,              0.0009044,              0.0009044,              0.0009044
                     85,                0.98169,                0.57932,                 1.0139,                0.84383,                0.76147,                0.82055,                0.54868,                0.99801,                0.61031,                 1.1388,              0.0008912,              0.0008912,              0.0008912
                     86,                0.98363,                0.58455,                 1.0236,                0.80905,                 0.7844,                 0.8051,                0.55231,                  0.928,                0.61405,                 1.1038,               0.000878,               0.000878,               0.000878
                     87,                0.99742,                0.57044,                 1.0031,                0.79331,                0.76606,                0.80155,                0.55066,                0.95975,                0.63476,                 1.1462,              0.0008648,              0.0008648,              0.0008648
                     88,                  1.016,                0.58708,                 1.0072,                 0.8592,                0.75688,                0.82051,                0.53484,                 1.0041,                0.63921,                 1.1589,              0.0008516,              0.0008516,              0.0008516
                     89,                0.95738,                0.55817,                 1.0094,                0.83879,                0.76375,                0.81372,                0.55639,                0.96364,                0.63891,                 1.1495,              0.0008384,              0.0008384,              0.0008384
                     90,                  0.914,                0.53321,                 1.0178,                 0.8285,                0.77558,                0.79839,                0.53684,                 0.9675,                0.62995,                 1.0932,              0.0008252,              0.0008252,              0.0008252
                     91,                0.97746,                0.56518,                 1.0007,                0.81771,                0.79358,                 0.8249,                0.54959,                0.96236,                0.65533,                 1.0998,               0.000812,               0.000812,               0.000812
                     92,                0.97116,                0.56797,                 1.0245,                0.80372,                 0.7701,                0.82042,                0.53761,                0.98811,                0.66231,                 1.1104,              0.0007988,              0.0007988,              0.0007988
                     93,                0.97805,                0.57023,                 1.0128,                0.80798,                0.75688,                0.81696,                  0.537,                0.95769,                0.63323,                 1.1016,              0.0007856,              0.0007856,              0.0007856
                     94,                0.93728,                0.55519,                 1.0078,                0.85595,                0.75229,                0.82824,                0.56074,                0.96768,                0.60031,                 1.1229,              0.0007724,              0.0007724,              0.0007724
                     95,                0.92222,                0.53967,                 1.0075,                0.83648,                0.75688,                0.81513,                0.54387,                0.96688,                0.61268,                 1.1062,              0.0007592,              0.0007592,              0.0007592
                     96,                0.95839,                0.55278,                 0.9985,                0.81061,                0.78535,                0.80843,                0.55167,                0.95243,                 0.6303,                 1.1005,               0.000746,               0.000746,               0.000746
                     97,                0.97457,                0.55792,                 1.0181,                0.85492,                0.75689,                0.81218,                  0.545,                  0.958,                0.65771,                 1.1092,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.0299,                0.55459,                0.99623,                0.88187,                0.73853,                0.79413,                0.55321,                0.94772,                0.64762,                 1.1085,              0.0007196,              0.0007196,              0.0007196
                     99,                0.93816,                 0.5562,                0.98409,                0.85378,                0.73853,                0.80146,                0.54691,                0.96619,                0.64246,                 1.1218,              0.0007064,              0.0007064,              0.0007064
                    100,                0.95825,                0.54761,                 1.0105,                0.85119,                0.76147,                0.81061,                0.54728,                0.97664,                0.63442,                 1.1203,              0.0006932,              0.0006932,              0.0006932
                    101,                0.93684,                0.53482,                0.99782,                0.87446,                0.77064,                0.82023,                0.54411,                  1.002,                0.60351,                 1.1207,                0.00068,                0.00068,                0.00068
                    102,                0.97732,                0.55231,                0.99378,                0.84898,                0.74312,                0.80854,                0.54028,                0.98562,                0.59698,                  1.148,              0.0006668,              0.0006668,              0.0006668
                    103,                0.89137,                 0.5249,                0.98412,                0.88284,                0.76047,                0.83042,                0.53894,                0.99423,                0.63223,                 1.1383,              0.0006536,              0.0006536,              0.0006536
                    104,                0.90125,                0.53096,                0.98728,                0.89353,                0.73394,                0.82423,                0.56005,                0.97005,                0.61193,                 1.1168,              0.0006404,              0.0006404,              0.0006404
                    105,                 0.8869,                0.51885,                 1.0045,                0.79371,                 0.7844,                0.81052,                0.55495,                0.97002,                0.60632,                 1.1254,              0.0006272,              0.0006272,              0.0006272
                    106,                 1.0063,                0.55451,                0.99339,                0.88068,                0.75688,                0.82639,                0.55044,                0.98607,                0.58715,                 1.1267,               0.000614,               0.000614,               0.000614
                    107,                0.90979,                0.53606,                0.97781,                0.88289,                 0.7608,                0.83446,                0.56431,                 0.9656,                0.58767,                  1.114,              0.0006008,              0.0006008,              0.0006008
                    108,                 0.9169,                0.51973,                0.97867,                0.88851,                0.76767,                0.83428,                0.56104,                0.95969,                0.56524,                 1.1192,              0.0005876,              0.0005876,              0.0005876
                    109,                0.90549,                0.53004,                 1.0067,                0.88854,                0.75688,                 0.8379,                0.56331,                0.95852,                0.60142,                 1.1105,              0.0005744,              0.0005744,              0.0005744
                    110,                0.89587,                0.52064,                0.99815,                0.87365,                0.77982,                0.83613,                0.56066,                0.94839,                0.60205,                 1.0968,              0.0005612,              0.0005612,              0.0005612
                    111,                0.91376,                0.52158,                0.99249,                0.87401,                0.76376,                0.82508,                0.55682,                0.96281,                0.58942,                 1.1141,               0.000548,               0.000548,               0.000548
